description,event_datetime,visiting_team,home_team_score,visiting_team_score,promotion,zone_name,section_name,number_of_transactions,number_of_tickets
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Right Field 307,22,59
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 302,6,20
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 304,16,35
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 305,13,28
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 326,11,30
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 327,17,45
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 328,13,38
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 330,17,49
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,View Deck Baselines,View Box 331,13,54
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 202,9,19
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 203,16,42
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 204,9,20
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 205,12,25
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 226,13,39
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 227,24,65
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 228,17,57
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 229,21,52
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 230,4,15
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Club Baselines,Club Level Outfield 231,4,10
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 102,15,40
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 103,21,47
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 104,33,97
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 127,58,150
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 128,48,114
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 129,49,162
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Lower Baselines,Lower Box 130,43,147
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Outfield 327,31,75
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Outfield 328,15,63
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Outfield 330,17,66
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Outfield 331,2,11
San Francisco Giants vs. Arizona Diamondbacks,4/12/17 7:15 PM,Arizona Diamondbacks,6,2,,Reserve Baselines,View Reserve Right Field 302,12,39
